A1,A2,X.1,X.2,X.3,X.4,Y,D,S,S_prob
0,0,1.813554837681822,-0.7782416231901899,2.661045620085849,-1.9943678860174863,1,0,1,0.908
0,0,1.1285518437010194,-1.2070806150195061,2.6887110162501986,-2.6971586474870124,1,0,1,0.894
1,1,1.683543934352329,-0.4885131253744568,2.0434785340709714,-2.1557161656217123,1,1,0,0.426
0,0,0.8187312302449556,-1.315709902488786,2.4888874294231584,-2.5630042344152875,1,0,1,0.62
1,1,0.5985359438515643,-1.3181793660138537,1.5024391500301657,-1.4929911660074908,0,0,0,0.108
1,1,1.8773141061983072,-1.6513147732609197,2.3456440513410124,-1.7987078896488073,1,1,0,0.296
0,1,1.7680852133417588,-1.7794383664443465,2.0609760831729704,-2.3345355206554004,0,0,0,0.478
1,0,0.13872071325490942,-0.8213909060939676,2.0663955714704367,-1.932072175718198,0,0,0,0.27
0,1,1.1090877499948684,-1.0193287556132378,2.3547750026721,-1.414263732114845,1,0,1,0.58
1,0,2.0034008774625685,-0.9974026087347098,2.448351967369117,-1.771906190182442,1,0,1,0.68
1,1,1.7003515816855943,-1.5135232406209496,1.6869535823694228,-2.1494375007572084,0,1,0,0.16
0,1,0.8697675234825372,-0.9952977244529968,1.6326562665149664,-1.6215329186628697,1,0,0,0.388
0,0,-0.6300360867759072,-1.3602996099943265,1.8485044875734853,-2.131741167701248,0,0,0,0.204
0,0,1.0446441489652352,-1.8353130818026226,1.736202838690704,-2.9157795272551357,0,0,0,0.334
1,0,0.9769261401575915,-0.8207260734402962,1.575154445756137,-1.888357401148344,0,0,1,0.58
0,0,1.2479653739153336,-0.5780383103378388,2.7848377153164234,-1.6976203158544894,1,0,1,0.908
1,1,0.5998137491878848,-0.14921779775316557,2.815607923438459,-2.4257561343221674,1,1,0,0.388
1,0,1.9762821839320117,-0.9898707345120956,2.4232699406183165,-2.3075518539460056,1,0,1,0.644
1,0,0.7787231378392072,-0.5260781397514771,2.458639050199067,-1.4533847039628152,1,0,1,0.792
0,0,1.3961663401879543,-1.223853885084708,2.5527689079219167,-2.428620552884982,1,0,1,0.902
1,0,0.9434423127536155,-1.4235936034983199,1.7447613365453076,-1.7192035102976744,1,0,0,0.288
0,0,1.6833152203810615,-1.249744592691145,2.6628905519488275,-2.378738385274975,1,0,1,0.916
1,1,0.39778576909276653,-0.6883772219832289,2.1960987969847574,-2.414820797401113,0,1,0,0.178
1,1,1.3232142934557118,-1.0392991371506937,2.196824892747428,-0.9108042607331985,1,0,1,0.682
1,0,0.6700894559556996,-1.4410129494889343,2.0835144264479744,-1.8532301441831958,1,0,0,0.166
0,0,1.260172667852997,-1.3387374252203454,1.813997213782145,-1.961366924755385,1,0,0,0.45
0,0,0.777690062733746,-0.5130378076592308,2.0935365807389577,-1.684676336093774,0,0,1,0.818
1,0,1.407245015117073,-1.0452615928865547,2.1728204539020304,-2.0744695852921664,1,0,0,0.404
1,0,1.0460308902146571,-1.2066999576157913,2.030939589003786,-2.108018102055853,0,0,0,0.42
0,0,0.7656788563629604,-0.43406727514667165,1.409231322979653,-1.5121621456493044,0,0,1,0.722
1,1,0.6963637971154697,-0.5308266958970564,1.8971560568062222,-1.6785632614446793,1,1,0,0.26
0,0,0.628854722860605,-2.002066692213835,2.7175429834558487,-1.9890396880829742,0,0,1,0.652
0,0,1.2694961211804832,-0.25238869564059085,1.5823494938750815,-2.159224395543161,1,0,1,0.816
1,0,1.7370390909972198,-2.3319290679097575,1.5991406488398134,-1.6641082577449788,0,0,1,0.532
0,1,0.9897866053571127,-1.5627818972402376,3.163910465146473,-2.5889758449860607,0,0,1,0.504
0,1,1.7282595388351982,-0.8682770289555323,2.7771713130031124,-1.4215735551080604,1,0,1,0.676
1,1,0.5537214037545831,-0.443486200525843,1.8989287569768167,-1.5466837388884382,1,0,0,0.332
0,0,0.6502054556017105,-1.0654508632320072,0.7792730064729392,-2.639693686711743,0,1,0,0.248
1,1,0.44454807156892706,-1.2201627937762611,1.5619676991248357,-2.401155598244264,0,1,0,0.036
1,1,0.4015582674390591,-0.3281824346587169,2.045206867943841,-2.759423935401311,0,0,0,0.14
1,0,1.3649502659379342,-1.1260000124835574,1.2671324700279682,-1.3316494106367522,0,0,1,0.702
1,1,1.3917987118242139,-1.5099560481996575,1.6510544108467293,-1.8772871827755924,1,0,0,0.094
0,0,1.1402142366128387,-1.140156812699306,2.236380117577079,-2.2655832967615144,0,0,1,0.72
0,0,0.03564666974859243,-2.0518662314598344,2.026522811833706,-2.3350887069264825,0,0,0,0.354
0,0,0.359664283134854,-0.6140494874439948,2.215711902986681,-2.287086273360698,1,0,1,0.78
1,0,0.7043407414829288,-0.1680046859620411,2.1376385505798328,-1.9389282879740724,1,0,1,0.592
0,0,1.448281990695182,-1.5302047996825447,2.547730183434065,-2.5106893967599113,1,0,1,0.778
0,0,0.8260145491622253,-0.737035889213647,2.4006445676657324,-1.0978883046873396,1,0,1,0.804
1,0,0.8829944269039277,-0.6802538787608917,0.9795984782716698,-1.459082689656558,0,1,0,0.384
0,0,1.1530759504822026,-0.9037195845989298,1.990893307660105,-2.234046050031841,1,0,1,0.744
1,0,1.2309087713057132,-1.1186564082278758,1.4400408274156216,-1.6224058154669827,0,0,1,0.594
0,0,0.5781157713208607,-0.7536749453060593,1.7950478746408074,-1.4162198128758225,0,0,0,0.336
1,0,1.2338050413759163,0.685493540599784,1.7163971400168767,-1.398652480805403,1,1,1,0.618
0,0,1.0141327157732765,-1.309279431717831,2.8498504136289906,-1.8592223246545196,1,0,1,0.884
0,0,0.30331950550057196,-0.75229299985476,2.5458969080494978,-1.2511695650223502,0,0,1,0.664
0,0,0.6452718874334453,-1.266358512911935,2.2116094538042836,-2.2212657782136636,0,0,1,0.718
0,0,0.6726737191254519,-1.2979345015148906,2.5816927898483737,-2.283816659977658,0,0,1,0.794
1,0,0.8457418268825497,-1.370679258407485,2.703566069944871,-2.194586363619024,1,0,1,0.622
1,0,0.2727335395266083,-0.6070204719283394,1.9483702900775528,-1.939824683241733,0,0,1,0.514
0,0,1.3409119622397703,-0.025117499672805188,1.3490753585936548,-1.8047303598799502,1,0,1,0.56
0,1,0.520510416355706,0.10206414367772343,1.7441926652275603,-2.07657549088395,1,1,0,0.428
0,0,2.251185304464592,-0.8023344979147493,1.320778982166869,-1.8491115069776463,1,0,1,0.776
0,0,1.7171452170267463,-1.4326963573260283,2.0944454881191783,-2.096062832427412,0,0,1,0.696
0,1,1.0962707372722793,-1.3943066090788803,2.3674361409287163,-1.4387032244780507,1,0,1,0.512
0,0,0.8889097742888673,-1.3937763682001933,1.610995674349164,-2.2521259393160236,1,0,0,0.306
0,0,0.4030270078056176,-0.9365863815946542,2.1546585493809975,-2.370719907125344,1,0,1,0.636
0,0,0.5067807488342339,-1.5312525144206295,1.846640158070086,-2.8560073654266875,0,0,0,0.346
0,0,1.3127273710899072,-0.7491469198324208,3.0321490759236536,-1.2389181752518588,1,0,1,0.896
1,1,1.1534153633838793,-1.1080529335250473,1.8575356869701365,-2.634791071269621,0,1,0,0.368
1,1,0.40779146705558456,-0.6687368437078842,3.2873907783314706,-2.2297759090302454,1,0,1,0.512
1,0,0.34838346530393416,-1.5799471742581161,1.6629433845356463,-2.2776575977573597,1,0,0,0.11
1,0,2.171640544374054,-0.8819362148513367,2.002509993540848,-2.393323310416438,0,1,1,0.582
0,0,0.9943403469158641,-1.6464438400141392,3.034661775576554,-1.8953287902453055,1,0,1,0.724
1,0,0.2703507766000154,-1.109322187590136,1.5614940570060494,-2.4918779395683153,0,1,0,0.248
0,1,0.09857111349151804,-1.182998168262937,1.2124680461801325,-1.7182485375082865,0,0,0,0.428
